q,a1,a2,a3,a4,a5,a6,a7
Name A Direction You’re Given When Having A Group Photo Taken.,Smile,Say Cheese,Move Left/Right,Move Closer,,,
Name Something That Action Movie Stars Always Jump Off Of.,Buildings,Bridge,Cliff,Moving Cars,,,
How Can You Tell That A TV Show Is Old Time?,Black And White,Clothes,Old Cars,Music,,,
Name A Party Game That You’D Be Surprised To See At An Adult’S Birthday,Pin The Tailâ€¦,Twister,Spin The Bottle,Musical Chairs,,,
Name A Fictional Character Who Makes Spy Work Look Like A Lot Of Fun.,Inspector Gadget,Sherlock Holmes,James Bond,Nancy Drew,,,
What Ailment Might You Have The Morning After A Wild Party?,Hangover,Headache,Sore Dancing Legs,Nausea,,,
Name A City That Is Best Known For Its Nightlife,New York,Las Vegas,Los Angeles,New Orleans,,,
We Asked 100 Wives: What Does Your Husband See On TV That Guarantees He’ll Stop Flipping Channels?,Sports,Beautiful Women,Cars,News,,,
Name Something Of Your That The Dog Likes To Play With.,Shoes,Socks,Ball,Newspaper,,,
Name Something An Astronaut Has To Go Without When Traveling In Space,Decent Food,Family,Gravity,Normal Bathroom,,,
Name Something You Hope A Restaurant Chef Didn’t Do Before Cooking Your Meal.,Got Sick,Drink,Smoke,Not Wash Hands,,,
Name A Place Where You Often Find An Elevator.,Hotel,Mall,Hospital,Office Building,,,
Name A Style Of Music That You’d Be Surprised To Hear That A Teenager Listened To.,Classical,Country,Jazz,Opera,,,
Tell Me An Excuse For Not Going To Work That No One Really Believes,Sick,Car Trouble,Traffic,Overslept,,,
What Diaper Bag Item Would A Parent Hate To Be Without?,Diapers,Wipes,Bottle,Pacifier,,,
We Asked 100 Married Women: Name Something You Wish Your Husband Would Be More Helpful With Around The House,Dishes,Laundry,Cooking,Parenting,,,
Name A Way That You Can Track Down An Old Friend,Internet,Phone Book,Friends,Parents,,,
Name A Place Where A Teenager Wouldn’t Want To Be Seen With Their Parent.,Mall,School,Movie Theatre,Party,,,
Name A Fruit That Can Get Bruised,Apple,Peach,Bananas,Pear,,,
Name Something A School Wastebasket Is Probably Full Of.,Paper,Gum,Food Wrappers,Pencil Shavings,,,
Name An Object Considered To Be Good Luck,Four Leaf Clover,Rabbit’s Foot,Horseshoe,Penny,,,
Name The Worst Job For Someone With Allergies.,Gardener/Landscaper,Veterinarian,Florist,Pet Groomer,,,
Name Something A Parent Might Limit Their Child’s Time Using,TV,Computer,Video Games,Phone,,,
Name A Piece Of Information That’s On Every Menu,Prices,Names of Dishes,Name Of Business,Phone Number/ Address,,,
"Where, Specifically, Would You Most Hate To Find Ants?",Kitchen,Bed,Pants,Picnic,,,
Name A Reason Why You’d Get A Blindfold.,Surprise Party,Pin Tail On Donkey,Kidnapped,Pinata,,,
Name A Meal That Most People Can Make Without A Recipe,Eggs,Spaghetti,Mac And Cheese,Pizza,,,
Name A Profession That Someone May lie About Having Just To Impress A Guy or Girl.,Doctor,Lawyer,Actor,Police Officer,,,
Name An Occupation In Which You Might Be Able To Get Away With Breaking The Law.,Police Officer,Lawyer,Judge,Politician,,,
What Might Happen To Cause A Rock Concert To End Abruptly?,Violence,Bad Weather,Fire,Power Outage,,,
Which Word Or Phrase Is Often Used As A Magician’s Magic Word(s)?,Abra Cadabra,Hocus Pocus,Alla Kazam,Presto,,,
Name A Job Where You Get To Play With Dolls All Day.,Toy Store,Toy Maker,Child Care,Puppeteer,,,
Name Something A Woman Would Hate To Have The Same As Someone Else,Outfit,Man,Hairstyle,Purse,,,
Name An Animal That Sleeps During The Day And Stays Up At Night.,Bat,Owl,Cat,Raccoon,,,
Name Something You’d Hate To Have Happen If You Went Up In A Hot Air Balloon.,Fall Out,Pops,Collision,Rains,,,
Name Something That Builds A Nest,Bird,Snakes,Bee,Rat,,,
"If You’re Driving In The Middle Of No Where, What Animal Might You See Crossing The Street?",Deer,Cow,Moose,Rat,,,
Name An Animal That’s Not Loved By Many People,Snake,Bear,Shark,Rat,,,
Name Something That You Often Have A Hard Time Concentrating On.,Work,Tests,Schoolwork,Reading,,,
Name A Color Some Men Never Wear,Pink,Purple,Yellow,Red,,,
Name Something Santa Might Bring With Him To Keep From Getting Lost On Christmas Eve.,Map,GPS,Compass,Reindeer,,,
Name Something A Politician Does When Scandalous News Breaks Out About Them.,Lie/Deny It,Go Into Hiding,Apology/Press Conference,Resign,,,
Name Something That Can Cause A Flat Tire.,Nail,Glass Shard,Pin,Rocks,,,
Name A Sport That You Wouldn’t Play Without Protective Equipment,Football,Hockey,Baseball,Rugby,,,
Why Might A Door-To-Door Salesperson Skip A Particular House?,Barking Dog,No One’s Home,No Soliciting Sign,Run Down House,,,
"Name Something You Include On A Letter, But Not On An E-Mail.",Stamp,Signature,Address,Salutation/ Greeting,,,
Name Something You Imagine You’d See All Over If You Went To Australia,Kangaroos,Ocean,Koalas,Sand Beaches,,,
Name A Cartoon Pet That’s Smarter Than Its Owner.,Garfield,Snoopy,Dino,Scooby Doo,,,
Name A Famous Sight That Tourists Take An Elevator Up To See,Empire State Bldg.,Eiffel Tower,Statue Of Liberty,Sears Tower,,,
Name An Activity That’d Be Hard To Do By CandleLight,Read,Cook,Write,Sew,,,
Name An Article Of Clothing That Usually Can’t Be Put In The Dryer,Sweater,Bra,Coat,Shoes,,,
Name An Expense From A Business Trip That Your Employer Probably Wouldn’t Reimburse,Fancy Meals,Alcohol,Entertainment,Shopping,,,
"Instead Of Their First Name, What Might A Parent Shout When Calling For Their Child?",Whole Name,Nickname,Hey,Sibling’s Name,,,
"After Having Kids, Name Something That Happens That Interrupts A Couple’s Alone Time At Night.",Crying Baby,Nightmares,Feeding Times,Sick Kid,,,
What Might You Bring To The Stadium If You Wanted To Be Featured On The Jumbo Tron Screen.,Sign,Foam Finger,Attractive Woman,Silly Hat,,,
Name A Type Of Contest You Might Enter At A County Fair,Eating,Cooking,Beauty,Singing,,,
How Many Weeks In Advance Do You Decorate For Christmas?,Four Weeks,Three Weeks,Two Weeks,Six Weeks,,,
Name Something About A Cartoon Character That Might Be Brightly Colored,Clothes,Hair,Eyes,Skin,,,
What Do People Do More On The 4th Of July Than On The 5th Of July?,Drink,Fireworks,Eat,Sleep,,,
Name An Animal That A Pirate Would Most Likely Have On His Ship.,Parrot,Minkey,Dog,Snake,,,
Name Something You Can Build With Snow,Snowman,Igloo,Snow Fort,Snowball,,,
Name Something Husbands Will Admit That They Borrow From Their Wives,Money,Car,Razor,Socks,,,
"Unlike Coffee, Name A Beverage That You Could Never Make Money Off Selling By The Cup.",Water,Milk,Lemonade,Soda,,,
Name A Word That Polite People Use Often.,Please,Thanks,Pardon/Excure Me,Sorry,,,
Name Something About Love That Some People Believe In and Others Don’t,Love At First Sight,Endless,Fate,Soul Mates,,,
Name Something People In The 1950’s Thought We Would Have By The Year 2000,Flying Cars,Time Travel,Robots,Spaceships,,,
Name A Type Of Photo That Most People Donâ€™T Smile In,Passport,Mug Shot,Driver’s License,Sports Photo,,,
Which Food That Gets Stuck In You Teeth Should Be Avoided On A Date?,Corn,Spinach,Popcorn,Steak,,,
Name Something You Would Need To Eat A Steak.,Knife,Fork,Teeth,Steak Sauce,,,
Name Something You’d Find In A Punk Rocker’s Bedroom,Guitar,Posters,Hair Gel,Stereo,,,
Name A Trait That’s Essential For A High School Teacher To Have,Patience,Intelligence,Friendly Personality,Strictness,,,
"If A Person Doesn’t Cook Well, Which Thanksgiving Food Might They Buy Instead Of Bake?",Turkey,Pumpkin Pie,Cake,Stuffing,,,
"Name A Reason, Other Than Hard Work, That Your Boss Would Give You A Raise",Dating The Boss,On Time/ Attendance,Blackmail,Sucking Up,,,
"Name Something Your Teen Likes To Wear, But You Hope He’ll Leave Home On Picture Day.",Baseball Cap,Piercing,Makeup,Sunglasses,,,
"Name Something Humans Wear, But Cats Look Silly In",Hats,Shoes,Glasses,Sweater,,,
"Name An Article Of Clothing Your Husband Often Receives At The Holidays, But Rarely Wants",Tie,Socks,Underwear,Sweater,,,
"Other Than Letter And Punctuation Keys, Which Computer Key Would You Not Want To type A Report Without?",Enter,Space Bar,Backspace,Tab Key,,,
Name Something A Doctor Might Ask A Patient To Do During A Checkup.,Undress,Cough,Open Wide,Take A Big Breath,,,
We Asked 100 Men: Name Something Your Partner Will Never Do As Well as Mom.,Cook,Clean,Laundry,Take Care Of Me,,,
Name Something A Child Does To Prove They’re Too Sick For School.,Cough,Vomit,Cry,Take Temperature,,,
Name Something In Your Daily Routine You Could Still Do Even If You’re Wearing a Strait Jacket.,Eat,Sleeping,Watch TV,Talk,,,
What Might Your Co-Worker Do To Let You Know She Is Very Excited About Christmas?,Decorate,Sing Carols,Dress Up,Talk About It,,,
"If You Sent A Postcard From China, What Would Be Pictured On The Front?",Great Wall,Panda,Dragon,Temple,,,
"Name Something You Say At The End Of A Date, Even If You Don’t Mean It.",I Love You,I Had A Good Time,I’ll Call You,Thank You,,,
What Sticks In Your Head Most From An Irritating But Memorable Commercial.,Song,Character/ Voice,Slogan,The Product,,,
Name A Reason Somebody Would Wear A Hat All The Time,Balding,Bad Hair Day,Protect From The Sun,They’re Cold,,,
Name A Reason People Might Put Lawnchairs On The Sidewalk,Parade,Sunbathing,Yard Sale,Throwing Them Out,,,
"Before You See Any Fighting, How Do You Know You’re Watching A Kung Fu Movie?",Actors,Subtitles,Music,Title,,,
Name Somewhere That Parents Can’t Wait For Their Kids To Go,To School,To Bed,To A Friend’s House,To Summer Camp,,,
Tell Me Something That Waddles,Duck,Penguin,Pregnant Woman,Toddler,,,
Name A Reason Why A Workplace Might Not Have Their Annual Christmas Party.,Budget Cuts,Bad Weather,Going Under,Too Busy,,,
Name An Annoying Thing About Pigeons,Droppings,Unsanitary,Noisy,Too Many Of Them,,,
Name A Reason Why Someone Might Hold Off On Getting Married.,Afraid of Commitment,Not Ready,Saving Money,Too Young,,,
Name A Character Famous For Selling Cereal.,Tony The Tiger,Cap’n Crunch,Trix Rabbit,Toucan Sam,,,
Name Something That Couples Often Get More Than One Of As Wedding Presents.,Toaster,Blender,Dishes,Towels,,,
Name Something You Hope That You’re Still Doing When You’re 80,Walking/ Running,Active Love Life,Driving,Traveling,,,
Name Something You Bring To A Tailgate Party,Beer,Food,Grill,Truck,,,
"Name Something Kids Often Ask For Before Bed, That Their Parents Refuse",Drink,Snack,Another Story,TV/ Movies,,,
Name An Article Of Clothing That Many Men Think Women Look Attractive In,Dress,Mini Skirt,Swimsuit,Underclothes,,,
Name A State People Visit On A Ski Vacation,Colorado,Vermont,Alaska,Utah,,,
Name Something People Mark On Their Calendars.,Birthdays,Appointments,Anniversary,Vacation,,,
Name A Holiday That’s Associated With Candy.,Halloween,Easter,Christmas,Valentine’s Day,,,
Name Something In Your House That Can Be Set.,Alarm/Clock,Table,TV/Tivo,VCR/DVD Player,,,
How Can You Tell Immediately That An E-Mail Is Spam?,Unknown Sender,No Subject,Goes To Junk,Virus Alert,,,
Name Something You Dread Doing After A Snowfall,Shoveling,Driving,Leaving The House,Walking,,,
Name A Job That Many Celebrities Had Before They Were Famous.,Food Server,Model,Cook,Washing Cars,,,
Name A Common Household Item That Was A Luxury To Have 50 Years Ago,Tv,Dishwasher,Phone,Washing Machine,,,
Name A Job In Which You’d Be Exposed To A Lot Of Germs,Doctor,Nurse,Teacher,Waste Collector,,,
Name Something Many Teens Want To Do Before Their Parents Think They Are Ready.,Drive,Date,Move Out,Wear Makeup,,,
Name A Reason A Couple May Keep A Close Watch On A Calender.,Anniversary,Baby Due,Trying For A Baby,Wedding day,,,
name A Sport Or Athletic League Whose Large Athletes You’d Hate To Ride A See-Saw With.,Sumo Wrestling,Football,WWF Wrestling,Weight Lifting,,,
Name A Reason Your Cell Phone Might Stop Working.,Dead Battery,Out Of range,Didn’t Pay Bill,Wet,,,
What In A Crime Scene Would An Investigator Check For Fingerprints?,Weapon,Door Knob,Body,Window,,,
Name A Drink That Many People Love Despite Its Bitter Taste,Beer,Coffee,Lemonade,Wine,,,
Name Something You Do To Let A Friend Know She Has Food On Her Face,Tell Her,Point At It,Giggle/ Tease Her,Wipe Your Own Face,,,
Name Something That Only A Person Who Really Loves Christmas Would Do As Early As October.,Decorate,Shop For Gifts,Put Up Tree,Wrap Gifts,,,
Name A Sports Whose Athletes You’d Least Like To Get In A Fight With,Boxing,Football,Hockey,Wrestling,,,
"Name Something You Find More Of At A Sporting Event, Than At A Movie Theater",Beer,Fans,Hot Dogs,Yelling,,,
"If A Con Man Approached You, What Do You Think He’d Immediately Want To Know?",Your Name,Your Income,Your Age,Your Address,,,
Name Something You Bring To A Party Even If The Host Doesn’t Ask You To Bring Anything,Alcohol,Flowers,Chips,Yourself,,,
Name Something That Gets Sewn Onto Clothes,Buttons,Patches,Name,Zipper,,,
Name A Job In Which You Could Wear Shorts To Work.,Lifeguard,Mail Carrier,Gym Teacher,Zookeeper,,,
Name Something That Many People Are Afraid To Drive On.,Icy Roads,Snow,Bridge,Freeway,,,
What Are Some Actions People Might Take To Be More Earth Friendly?,Recycling,Buy Hybrid Car,Use Less Paper,Plant Trees,,,
Name A Meal That Sometimes Comes With A Bib Even For Adults.,Ribs,Wings,Seafood,Steak,,,
Name A Halloween Costume That Young Girls Often Wear.,Princess,Witch,Fairy,Angel,,,
Tell Me An Invention That Probably Led To People Having Much Less Spare Time.,TV,Computer,Telephone,Car,,,
When Hosting A Dinner Party What Might You Ask A Friend To Bring.,Alcohol,Dessert,Salad,Chips,,,
"Name Something That The Bride And Groom Do At A Wedding, That Another Guest Should Not.",Kiss During Toasts,Cut The Cake,Say Vows,Dance To First Song,,,
"If An Auctioneer Had A Baby, What Might Be Her First Words?",Sold,Going Once … Gone,Bid,Do I Hear,,,
Name A Kids Movie that Makes Adults Cry To.,Bambi,Old Yeller,Lion King,Dumbo,,,
Name A Coffee Drink That’s Easy To Mispronounce.,Latte,Mocha,Cappuccino,Espresso,,,
Name Something It Might Be Ok to Lie To A Partner About In Order To Spare Their Feelings.,How They Look,Being Faithful,Satisfaction In Bed,Ex,,,
"Despite Its Beauty, Name A Reason Why You Wouldn’t Want To Live In Hawaii.",Too Hot,Expensive,Volcano,Far Away,,,
Name Something That Gets Into Your House If You Leave Food Out.,Ants,Rodents,Roaches,Flies,,,
Name Something That’s Essential To Creating A Romantic Atmosphere At Home.,Candles,Music,Good Lighting,Flowers,,,
Name Something You Would Not Want To Drop Your Wedding Ring Into.,Sink,Toilet,Water,Food,,,
Name A Word Or Phrase That Ends In -Phobia.,Arachnophobia,Agoraphobia,Claustrophobia,Germophobia,,,
Name Something A Man Might Ask His Dad’s Advice On.,Relationships,Finances,Car,Job,,,
Name An Animal That Might Live In A Tree,Monkey,Bird,Sqirrel,Koala,,,
"Name Something You Put On Your Face, That You’d Never Dream Of Putting On Your Feet.",Makeup,Lotion,Cold Cream,Mask,,,
Name Something That causes Yo To Become Friends With Someone You Otherwise wouldn’t Have,Money,School/Work,Both Have Kids,Mutual Friiends,,,
"Although It Was Nice To Be A Kid, Name A Part Of Childhood You’d Never Want To Go Through Again.",School,Puberty,Acne,Potty Training,,,
"If Stuck With No Diapers, What Might A Desperate Parent Use Instead?",Towel,Shirt,Napkins,Rag,,,
What Might You Be Afraid Of While Sleeping In A Tent?,Bears,Bugs,Snakes,Rain,,,
Name Something That’s Hard To Build But Easy To Tear Down.,House of Cards,Building,Sandle Castle,Trust,,,
Name A Time When A Man Might Be Extra Caring Toward His Wife,Their Anniversary,When She’s Pregnant,On Her Birthday,When She’s Sick,,,
Name Something A Woman Might Suggest Her Husband Do To Improve His Appearance.,Shave,Work Out,New Hairstyle,Dress Up,,,
Which Sounds Do Children Listen For On Christmas Eve?,Sleigh Bells,Ho Ho Ho,Reindeer On Roof,Footsteps,,,
Name A Reason Why A Child You Don’t Know Might Come To Your Door.,Selling Cookies,Lost,Trick Or Treat,Newspaper,,,
Name A Household Activity That People Wear Gloves While Doing.,Dishes,Gardening,Scrubbing Toilet,Painting,,,
